storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 OO시에 혼자 살고 있다. 쥐꼬리만한 연금은 생활비로 바로 빠져나가니 삶이 팍팍하다. 고요한 집은 TV 소리조차 벅차게 울리고, 이제 나이도 있고, 일을 구하자니 나이와 체력 때문에 망설여 진다. ",집 근처 아파트의 경비원 자리에 지원해본다.,폐지와 고물을 주워 팔기로 한다.,아무것도 하지 않는다.,"다행히 경비직 면접에 합격해 한동안 경비원으로 근무했다. 수입은 생겼지만, 하루 종일 서 있는 채로 일한 탓에 다리가 퉁퉁 붓고, 허리 통증이 심해졌다.","한동안 새벽부터 거리로 나가 폐지와 고물을 모았다. 힘들게 모은 것들을 팔아 약간의 돈을 모았지만, 몸살 기운이 심해진 것 같다.","나이와 건강을 생각해 집에서 쉬었다. 마음은 불안하지만, 일을 나갔다면 건강 상태가 많이 나빠졌을 것이다.",7,5,2,4,3,5
"배가 고파졌다. 지금 당장 먹을 만한 건 없고, 생활비는 빠듯한데... 어떻게 해야 할까?",근처 마트에서 냉동 식품 등 저렴한 음식 몇 가지를 사온다.,"거리가 좀 있어 교통비가 들지만, 무료급식소를 찾아간다.",그냥 굶는다.,"얼마 없는 비상금으로 간편식을 구매해 끼니를 때웠다. 건강에 좋지는 않지만, 배는 채울 수 있었다.","거리도 멀고 기다리는 시간도 길었지만, 따뜻한 국 한 그릇과 밥을 먹으니 조금 괜찮아졌다.","하루 종일 입에 아무것도 넣지 않았다. 돈을 아꼈지만, 배고픔에 어지러움이 몰려온다.",-2,-1,0,1,2,-1
"우편함을 확인해 보니 전기세와 수도세 고지서가 동시에 날아왔다. 확인해 보니 연체 직전인데, 연금은 다음달이 되어야 들어온다.",둘 다 내지 않는다.,전기세만 낸다.,전기세와 수도세 둘 다 낸다.,전기와 물 모두 끊겼다. 다음달까지 어떻게 살아야 할지 막막하기만 하다.,"전기는 사용할 수 있게 되었다. 하지만 다음달까지 물이 끊겨서 주변에 도움을 요청해 물을 받거나, 물을 구매해 사용해야 한다.","지출이 컸지만, 당분간은 불편 없이 생활할 수 있을 것 같다.",0,-1,-2,-2,-1,1
오래된 냉장고가 고장났다. 확인해 보니 안쪽에 불이 들어오지 않는 것 같다.,현관에 붙어있던 전단지 속 수리 센터 번호로 전화해본다.,주변인들에게 도움을 요청해본다.,"그냥 두고, 반찬은 밖에 놓아둔다.","수리 센터에서 직원을 보내줘 냉장고를 무사히 수리했다. 약간의 수리비는 나갔지만, 덕분에 냉장고를 계속 사용할 수 있게 되었다.","이웃이 버리려 했던 냉장고를 얻게 되었다. 성능이 안좋고 크기도 작지만, 당장의 큰 걱정은 덜었다.","음식이 상해버렸다. 냄새도 심해지고, 식욕마저 잃었다.",-1,0,0,1,0,-2
고혈압 약이 거의 다 떨어졌다. 병원에 가야할까?,그냥 넘어간다.,동네 약국에 가서 응급 처방을 받는다.,거리가 좀 있는 병원에 방문해 진료 및 처방을 받는다.,약 없이 지낸지 2달이 지났다. 어지럼증과 가슴이 답답한 증상이 종종 생기기 시작했다.,"응급약으로 당장 혈압은 좀 나아졌지만, 꼭 병원에 가보라는 약사의 말이 마음에 걸린다.",긴 이동 시간과 대기 끝에 진료를 받고 약을 받아왔다. 마음도 몸도 조금 안심된다.,0,-1,-2,-2,1,2
"3일째 폭염특보가 계속 되고, 전기세가 걱정되어 선풍기도 키기 망설여진다. 방 안은 찜통이고, 식욕도 사라져 간다. ",선풍기를 틀며 더위를 보낸다.,"지하철 역까지 꽤 걸어가야 하지만, 지하철 노약자석에 앉아 시간을 보낸다.",물을 몇 잔 마신 후 물수건을 이마에 얹고 잔다.,"선풍기를 틀자 열기가 조금 가셨다. 전기세 걱정은 되지만, 선풍기가 없으면 쓰러질 것 같은 더위다.","조금은 시원했지만, 오가는 길에 땀을 흘려 오히려 좀 피곤해졌다.",무더운 집 안에서 멍하니 하루를 보냈다. 더위에 지쳐 기운이 빠진다.,-2,-1,0,1,-1,-3
정부 지원금 지금 바로 신청하세요' 라는 문자가 날아왔다. 아래에는 정부 사이트로 연결된다는 링크가 붙어 있다. 지원금이 절실한데… 어떻게 해야 할까?,지원금이 급하기 때문에 바로 링크를 눌러 신청한다.,주민센터에 방문해 진위를 묻는다.,무시하고 넘긴다.,신청 후 계좌에서 이상한 출금이 발생했다. 피싱을 당했다는 걸 뒤늦게 깨달아 버렸다.,"담당 공무원이 해당 문자가 가짜라는 것을 말해주며, 실제 지원금 신청 방법을 알려주었다.",그냥 넘겼지만 계속 찜찜하다. 혹시 진짜였던 건 아닐까? 마음이 편치 않다.,-3,1,0,-3,-1,0
쓰레기가 많이 쌓였다. 하지만 다리가 아파서 분리수거장까지 가기가 힘들다.,그냥 모두 종량제 봉투에 담아 집 앞 골목에 둔다.,힘들지만 쓰레기들을 분리수거장으로 가져간다.,그냥 쌓아둔다.,"집 안은 깨끗해졌지만, 쓰레기 불법 투기로 과태료 부과를 하게 되었다.","무릎이 많이 쑤시고, 처리 비용이 좀 들었지만 집안이 깨끗해지니 마음이 가벼워졌다.",집 안에 둔 쓰레기에서 악취가 나기 시작한다.,-2,-1,0,0,-1,-2
TV를 보다가 갑자기 가슴이 답답하다.,119에 전화해 본다.,동네 약국으로 간다.,물 한 컵 마시고 잠깐 자고 일어난다.,"구급대가 도착해 병원으로 옮겨졌고, 병원비 지출이 생겼지만 덕분에 큰일은 막았다.","혈압을 재고 약을 받았다. 증상은 조금 가라앉았지만, 언제 또 재발할지 몰라 걱정이 쌓인다.","한동안 괜찮은 듯했지만, 가슴 답답함은 사라지지 않았다. 갈수록 증상이 자주 발생하는 것 같다.",-1,-2,0,0,-2,-3
지속되는 한파에 옷을 껴입고 있어도 집 안이 너무 춥다. ,근처 마트에서 전기장판을 하나 구입해 사용한다.,연탄을 떼서 방을 데운다.,그냥 집에 있는 옷을 찾아 껴입고 버틴다.,"안전하고, 따뜻하게 지낼 수 있게 되었다. 잠도 잘 오고 감기 기운도 사라졌다.",연탄 가스 때문에 머리가 어지러워 잠을 제대로 못잤다. 창을 열어놓고 있느라 집은 별로 따듯해지지 않았다.,"두꺼운 옷을 겹겹이 껴입었지만, 여전히 손발이 시리다.",-2,-1,0,2,-2,-1
