storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
동료 어민들에게서 바닷속 폐그물 수거 요청이 들어왔다.,인력을 고용해 집중적으로 수거한다.,포상금을 걸어 어민들의 자발적인 수거를 유도한다.,폐그물 안 버리는 사람은 없다.,전문 인력을 투입하여 폐그물 수거에 집중했다. 어장의 환경이 빠르게 개선되어 단기적으로 어획량이 증가하는 효과가 나타났다.,포상금 제도를 통해 어민들의 자발적인 수거의 참여도를 높였다. 포상금이 줄거나 중단되면 참여율이 떨어질 수 있으니 관리가 필요할 것이다.,폐그물을 방치했더니 최근 어획량이 급감하여 어민들이 큰 피해를 입게 되었다.,4,5,2,3,2,5
조업을 하던 중 폐플라스틱이 발견되고 있다.,주변 마을 어민들에게도 알려 마을 단위로 '조업 중 쓰레기 회수제' 도입을 추진한다.,일단 혼자만 조금씩이라도 직접 회수한다.,시청에 민원을 넣고 기다린다.,"마을 단위로 어민들이 해양 쓰레기를 함께 수거하기로 했다. 공동체 단위로 참여하니 지속성과 효과성이 높아졌고, 어민들 사이 책임감도 증진되었다.","개인적으로 쓰레기를 수거하여 해양 쓰레기 감소에 기여할 수 있었지만, 규모가 제한적이어서 영향력이 크지 않았다.","민원을 접수하고 대응을 기다렸지만, 처리까지 상당한 시간이 걸렸다. 처리되기까지 더 쌓인 쓰레기로 인해 피해가 증가했었다.",-2,0,-1,2,-1,0
수산 자우너 보호를 위한 조업 제한 정책이 발표되었다.,"정책에 순응하고, 자율 휴식기를 도입한다.",조업량을 절반으로 줄인다.,"정책을 무시하고, 기존대로 조업을 진행한다.","정채겡 맞춰자율적으로 조업을 중단하니, 수산자원 회복과 어장 환경의 개선 효과가 명확하게 나타났다.","정책과 관계없이 조업량을 절반으로 줄이기로 했다. 수익도 감소했지만, 수산자원의 고갈 속도도 늦춰져 어획량 유지에 기여했다.","기존대로 조업을 진행했다. 수산자원의 고갈이 가속화되고, 어획량이 급감했다. 장기적으로는 어업 기반 자체가 붕괴될 수도 있다.",4,5,2,3,2,5
연안 바다에 적조 현상이 목격되었다.,해양 전문가를 섭외해 공동 대응 체계를 수립한다.,적조 피해 지역만 피해서 조업을 이어나간다.,자연은 시간이 지나면 해결된다.,해양 전문가와 함께 체계적으로 대응하여 피해를 최소화할 수 있었다.,"피해 지역을 제외하고 조업을 지속했다. 일시적으로 어획량에 대한 피해는 줄일 수 있었지만, 적조가 빠르게 확산되어 큰 피해를 입었다.",자연이 해결해줄 것으로 믿고 방치했다. 하지만 상태가 악화되어 대규모 어류 폐사로 이어졌다.,-2,0,-1,2,-1,0
해양 보호 구역 확대안' 주민 설명회에 대한 참여 제안이 왔다.,확대안에 찬성한다,중립을 유지한다.,확대안에 반대한다.,"해양 보호 구역이 확대되어 해양생물의 다양성 보전, 서식지 보호 등 긍정적인 효과가 나타날 것으로 예상된다. 단기적으로 일부 어업활동이 제한될 수 있다.",결정에 소극적으로 참여하여 어민들의 입장이 충분히 반영되지 않았던 것 같다.,"확대안에 반대해서 단기적인 어업권과 조업 구역을 유지할 수 있었지만, 일부 어민들과의 갈등이 발생했다. 또한, 수산자원 고갈 위험이 잇따른다.",4,5,2,3,2,5
주민센터에 해양 산성화에 대한 교육 프로그램이 개설되었다.,마을 사람들에게도 알려 함께 참여한다.,"교육에 참여하지 않고, 조업을 이어나간다.","아무에게도 알리지 않고, 혼자 정보를 취한다.",마을 주민들도 함께 참여해 지역사회 전체의 해양 환경 변화에 대한 인식과 대응 역량이 높아졌다.,교육에 참여하지 않아 해양 산성화가 어업과 생계에 미치는 영향에 대한 정보와 방안을 습득할 기회를 놓치게 되었다.,"홀로 정보를 습득해서 개인적으로 해양 산성화에 대한 이해도가 높아졌으나, 지역사회 전체의 대응력은 향상되지 않았다. 정보가 공유되지 않아 실질적인 행동 변화와 정책 반영에 어려움을 겪었다.",-2,0,-1,2,-1,0
외부 업체에서 해양 쓰레기 모니터링 시스템 도입에 대한 제안이 들어왔다.,시범 도입 후 정식으로 추진한다.,거절 의사를 표한다.,정부 차원의 모니터링 시스템에 의존한다.,"모니터링 시스템을 시범 도입했다. 드론, AI 등의 첨단 기술을 활용해 실시간으로 데이터 수집과 분석이 가능했다. 높은 효율성과 정확성을 경험하고, 정식으로 추진하기로 했다.","시스템 도입을 거절하고 기존의 수작업 중심 모니터링 체계를 유지하기로 했다. 신속성에서 한계가 발생하고, 해양쓰레기 발생의 원인 분석, 대응 정책 수립 등이 지연되는 문제가 생겼다.","정부 시스템의 의존하여 기초조사와 정기적 데이터 축적은 가능했지만, 지역별 특수 상황이나 신속 대응, 첨단 기술 도입 등에서 한계가 있었다.",4,5,2,3,2,5
조업 위치 근처에서 소규모 기름 유출 사고가 발생했다.,주민들에게 알리고 긴급 방제 대응을 한다.,규모가 크지 않아 무시해도 된다.,간단한 방제 작업만 한다.,즉시 주민들에게 사고를 알려 긴급 방제를 진행했다. 신속한 정보 공유와 조직적인 대응으로 해양 오염의 확산을 최소화했다.,규모가 크지 않아 방치했더니 해류를 따라 확산되어 예상보다 넓은 해역에 피해가 갔다. 빠르게 조치하지 않으면 사회적 피해로 이어질 수도 있을 것이다.,"간단한 방제만 실시하여 일시적으로 표면 오염은 줄였지만, 기름의 일부는 해저로 침전되거나 수거되지 않아 어업에 피해가 발생했다.",-2,0,-1,2,-1,0
어느 방송사로부터 해양 생태계 관련 다큐멘터리 방송 요청이 왔다.,"촬영에 협조하고, 관련 자료를 제공한다.",관련 자료만 제공한다.,제안을 거절한다.,"해양 생태계 보전의 중요성이 대중적으로 널리 알려지고, 지역 해양 환경 문제에 대한 사회적 관심이 확대되었다.","정확한 정보 전달에는 기여했으나, 현장감이나 지역 어민의 목소리가 반영되지 않아 방송의 설득력과 공감대 형성에 한계가 있었다.",방송 제안을 거절해 해양 생태계 문제에 대한 대중적 관심과 사회적 논의 기회가 줄었다.,4,5,2,3,2,5
국제 해양 보호 캠페인에 어민 대표로 참여할 수 있는 기회가 생겼다.,"어민 대표로 참가해 동종업자, 전문가들과 의견을 공유한다.",서면 자료만 제출하고 마무리를 한다.,캠페인에 참여하지 않는다.,"어민의 현장 경험과 의견이 정책 및 캠페인 방향에 영향을 끼쳤고, 다양한 이해관계자와의 네트워크 형성 및 공동 대응 방안 마련 등의 긍정적인 효과가 나타났다.","정보 전달은 가능했지만, 직접적 의견 교환과 네트워킹, 실질적 영향력 행사에는 한계가 있었다.","지역 어민의 입장이 국제 논의에서 배제되고, 해양보호 관련 지원이나 협력 기회를 놓치게 되었다.",-2,0,-1,2,-1,0
