storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
주택가에 태풍 예비 특보가 내려졌다. 유리창이 버틸 수 있을지 걱정된다.,비산 방지 필름을 구입해 보강한다.,창틀 선반에 무거운 물건을 밀착시켜 막아본다.,그대로 두도록 한다.,"비산 방지 필름을 창문에 덧대었다. 이번 태풍은 예상보다 훨씬 강력했다. 유리창 하나가 깨졌지만, 필름 덕분에 피해가 크진 않았다.","조금 작지만 무거운 화분을 창틀 선반에 가까이 기대어 두었다. 그런데 태풍이 지나가면서 유리창이 깨지는 바람에, 화분도 함께 떨어져 집 안이 아수라장이 되었다.",무슨 일 있겠나 싶어 별다른 조치를 하지 않았다. 그런데 유리창 하나가 깨져 집 안으로 유리 파편이 흩어지고 말았다.,4,5,2,3,2,5
집중 호우로 인해 집 근처 하천의 수위가 빠르게 상승하고 있다.,지자체의 소식을 듣고 대피를 준비한다.,이웃에게 앞으로 일어날 상황을 물어본다.,집 안에 가만히 있으면 안전할 것이다.,"지자체에서 대피령을 내리고, 대피 요령에 따라 안전하게 대피했다.","별일 없을 거라는 이웃의 말을 듣고, 집에서 대기했다. 그러나 하천이 범람하려는 것을 목격하고 서둘러 대피했다. 조금만 늦었더라면 꼼짝없이 갇힐 뻔했다.",별일 있겠나 싶어 침대에 드러누웠다. 그런데 어느새 하천이 범람해 나는 집이 침수되고 말았다. 다행히 구조대가 와서 목숨은 건졌다.,-2,0,-1,2,-1,0
"과거, 구급함이 없어 곤란한 상황에 처했었지만, 구비하는 것을 잊고 있었다.",지금이라도 구급함을 구한다.,우선 간단히 사용할 수 있는 것만 모아둔다.,다치면 나중에 병원에서 치료하면 된다.,"어느 날, 칼질을 하다가 손을 크게 베었는데 때마침 구비했뒀던 구급함으로 응급처치를 한 후 병원에 갈 수 있었다.","나는 소독약, 밴드 등 간단한 구급용품이라도 모아뒀다. 어느 날, 칼질을 하다가 손을 크게 베었는데, 마땅히 처치를 할 수 있는 용품이 없어 고생했다.","어느 날, 칼질을 하다가 손을 크게 베었다. 나는 즉시 병원으로 이동했지만, 시간이 꽤 지체되어 지속적인 치료를 받아야 했다.",4,5,2,3,2,5
단독주택 지반이 약해진 걸까? 균열이 발견되었다.,견적을 알아보고 보수 공사를 진행한다.,지자체에 안전과 관련해 점검을 신청한다.,근처에서 흙을 퍼다가 직접 메워본다.,"나는 즉시 전문가를 불러 균열의 원인을 정확히 알아내고, 보수 공사를 마쳤다.","지자체에 균열에 대한 점검을 신청했다. 다른 접수에 밀려 시간은 걸렸지만, 균열의 원인을 알아내고 보수 명령이 내려졌다.","나는 근처 화단에서 흙을 조금 퍼내어 균열을 메꿔보았다. 며칠 뒤, 균열이 더 커지는 바람에 많은 비용을 지불하게 됐다.",-2,0,-1,2,-1,0
재난 문자 알림이 너무 많이 와서 거슬린다. 알림을 꼭 받아야 할까?,재난 문자 알림을 켜놓는다.,TV를 통해 방송을 주기적으로 확인한다.,재난 문자를 수신 차단한다.,좀 거슬려도 안전을 위해 참기로 했다.,"문자 알림은 뒤로 하고 TV만을 통해 정보를 습득하기로 했다. 하지만 내가 지금 보는 것이 최신의 정보인지, 중간에 놓친 정보는 없는지 파악하기가 어렵다.","문자를 차단하기로 했다. 어느 날, 갑자기 작은 규모의 지진이 발생해 깜짝 놀랐다.",4,5,2,3,2,5
지진 발생 시 대피 요령에 대한 교육 안내문이 도착했다.,"교육에 참여하고, 대피 루트를 점검한다.",동봉된 간단한 자료만 읽고 넘긴다.,재활용 쓰레기로 분리 배출한다.,제대로 된 대피 요령을 습득하니 조금은 안심된다.,"교육에 참여하기 바빠 동봉된 자료만 읽었다. 당장은 글로 이해했지만, 재난이 닥쳤을 때 잘 떠올릴 수 있을까 싶다.",너무 귀찮아서 안내문을 그냥 쓰레기통에 버렸다.,-2,0,-1,2,-1,0
주택 보험의 만기일이 어느새 코앞으로 다가왔다.,"만기일을 갱신하고, 보장 범위를 확대한다.",현재 보장 범위로 만기일만 갱신한다.,만기일이 끝나면 가입 및 갱신을 하지 않는다.,만기일을 갱신하면서 보장 범위를 확대했다. 보험료가 좀 부담되지만 넓음 범위의 보장이 만족스럽다.,"보장 사각지대가 있을까 걱정되기는 하지만, 보험이 있는 것만으로도 충분하다.",보험을 더 유지하지 않기로 했다. 앞으로 사고 발생 시 모두 내가 지불해야 하기에 불안하긴 하다.,4,5,2,3,2,5
친구가 지자체에서 ‘재해취약주택 리모델링’ 지원을 받았다고 한다.,신청 자격 알아보고 나도 지원한다.,지금은 시기가 맞지 않는 것 같다.,작성할 서류가 많아 지원하기 귀찮다...,내 집도 자격에 해당되어 지원을 받게 되었다. 개인 비용 부담이 크게 줄어 좋다.,나중에 지원을 받아보려 했으나 사업 기간이 끝나고 말았다.,우리집이 안전해질 기회를 날렸다.,-2,0,-1,2,-1,0
다음 달에 공사가 있어 집 앞 도로가 임시 폐쇄될 예정이다.,공사가 진행될 동안 통행할 경로를 알아본다.,공사가 진행될 동안은 집에만 있는다.,통행이 좀 불편해도 공사가 진행될 도로를 계속 이용한다.,"경로를 미리 찾아서, 앞으로 일어날 불필요한 혼란과 지연을 줄였다.",처음엔 통행에 대한 불편은 없다시피 했다. 하지만 병원에 내원할 일이 생겼는데 차를 이용할 수 없어 불편했다.,임시 폐쇄된 도로를 그냥 이용하다가 공사장 펜스와 충돌하고 말았다.,4,5,2,3,2,5
요즘 들어서 리모델링 이주에 대한 제안을 많이 받는다.,안전 기준이 높은 신축 아파트로 이사한다.,조건을 따져보고 리모델링을 수락한다.,지금 사는 집도 충분히 만족하고 있다.,"리모델링 이주 대신 신축 아파트로 이사를 택했다. 경제적으로 부담이 있었지만, 안전 시설이 완비되어 안심하고 살 수 있다.","재건축이 아니라서 구조적 변경 또는 확장에 한계가 있었지만, 리모델링을 진행하고 건물의 가치가 상승하게 되었다.","리모델링을 하지 않고, 현재의 익숙한 집을 유지하기로 했다. 앞으로의 유지보수 비용이 걱정되기는 한다.",-2,0,-1,2,-1,0
