storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
인터넷에 피해 사진이 무단으로 올라가고 있다.,법률 자문을 받고 민사소송 준비,해당 플랫폼에 삭제 요청,댓글 신고,"법률 자문을 통해 내 권리를 명확히 확인하고, 민사 소송을 제기했다. 시간과 비용도 부담이지만, 가해자를 잡을 수 있을지 걱정된다.","나는 신속하게 관리자에게 삭제 요청을 했고, 해당 플랫폼의 글은 지워졌다.",해당 플랫폼의 신고 기능으로 게시글을 신고하였다. 관리자가 해당 신고를 확인하는데 시간이 오래 걸렸다.,4,5,2,3,2,5
댓글에 외모 비하 및 허위사실이 포함됐다.,사이버 명예훼손으로 형사 고소,정신적 피해 보상 소송 준비,가해자와 직접 연락,사이버 명예훼손으로 형사 고소를 진행했다. 비용과 관계없이 부디 처벌되었으면 한다.,정신적 피해 보상에 대해 민사상 손해배상을 청구했다. 피해 삿실을 입증하는데 최선을 다해야겠다.,댓글의 작성자와 직접 연락을 시도했다. 그런데 상대방의 2차 가해가 이루어지고 말았다.,-2,0,-1,2,-1,0
피해 사진이 짤방으로 확산되고 있다.,디지털 장의사 서비스 이용,디지털 범죄 피해 지원센터에 도움 요청,무시하기,"디지털 장의사 서비스를 통해 인터넷에 유포된 내 사진에 대해 삭제를 요청했다. 플랫폼 정책, 유포 경로 등 여러 요인이 있기에 무조건 모두 삭제가 되진 않는다고 한다.",디지털 범죄에 대해 지원센터에 도움을 요청했다. 지원센터에서는 디지털 장의사처럼 피해 촬영물의 삭제와 심리 상담 등 다양한 지원을 받을 수 있었다.,겁이 나서 애써 무시했다. 피해 사진의 확산이 계속될 것이라는 생각에 밤낮을 이룰 수 없다.,4,5,2,3,2,5
피해 사례를 SNS에 공개할지 고민이다.,다른 피해자와 연대해 목소리 내기,익명으로 커뮤니티에 게시,가만히 있기,"다른 피해자들과 접촉 및 연대하여 사회적 관심을 높이고, 제도 개선이나 피해 회복을 위한 지원 확대를 이끄는 시도를 했다.",익명성을 통해 심리적인 부담을 덜고 피해 사실을 알렸다. 익명 커뮤니티의 특성상 2차 가해가 이루어지곤 했다.,"신상 노출, 2차 가해 등을 막고자 여기저기 알리고 다니지 않았다. 현재 홀로 버텨내려니 외롭다.",-2,0,-1,2,-1,0
사이버 폭력 피해가 언론에 알려졌다.,기자회견을 열고 제도 개선을 요구,공론화보다 법적 대응에 집중,언론과 접촉 피하기,언론의 조명을 받아 사회적 이슈로 부각되기를 노렸다. 정부·국회의 대응을 촉구하는데 실질적인 영향을 미쳤다.,언론 노출에 따른 2차 가해를 줄이고자 사회적 관심이나 제도 개선을 이끌어내는 대신 법적 절차에 집중하기로 했다.,"언론에 알려진다 한들, 당장 문제가 해결될 것 같지 않아서 더 이상의 공론화는 하지 않기로 했다.",4,5,2,3,2,5
가해자의 신상이 드러났다는 제보가 들어왔다.,사적 복수 거부 및 법적 절차,익명 커뮤니티에 암시 남기기,잊어버리기,"나는 분노를 참지 못하고, 가해자를 찾아가 복수를 했다. 하지만, 나까지 범죄자가 되게 생겼다.","드러난 신상을 바탕으로 법적 절차를 밟았다. 피해자 신변 보호, 불법 촬영물 삭제 지원, 심리 상담 등 다양한 지원을 받을 수 있었다.",가해자에 대한 추가적인 조치가 이루어지지 않아 법적 보호와 지원을 받기는 어려워졌다.,-2,0,-1,2,-1,0
정부가 디지털 인권 법안을 검토 중이다.,시민단체와 함께 입법 청원을 추진,관련 공청회 참여,무시하기,"시민 단체와 연대해 입법 과정에서 사회적 관심을 높이고, 법안의 실질적 반영 가능성을 높여보기로 했다.","공청회에 참여하면 직접 의견을 낼 수 있다. 하지만, 나의 모습이 드러나는 것인 만큼 부담이 된다.",이제 법률이 제정되어도 나는 큰 효과를 볼 수 없을 것으로 보여 신경쓰지 않았다.,4,5,2,3,2,5
사이버 폭력 예방 교육이 전국 학교에 도입된다.,자료를 제공,홍보만 지원,교육 실효성에 의문 가지기,입력중,입력중,입력중,-2,0,-1,2,-1,0
"AI가 발전하며, 생성 이미지로 또 다른 피해자가 생겨나고 있다.",피해자 모임 조직 및 공동 대응,피해 사건을 공유해 주의 환기,피해 당한 과거 회상,입력중,입력중,입력중,4,5,2,3,2,5
피해 회복 지원금이 책정될 예정이다.,예산 배정 확대를 요구,현실적으로 책정된 금액 수용,잊어버리기,입력중,입력중,입력중,-2,0,-1,2,-1,0
