storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 인구 100여 명의 작은 섬에서 살고 있는 중학생이다. 지난 겨울, 통신망이 끊겨버려 원활한 학습 환경을 누릴 수 없었다. 지난 겨울에 난 뭘 하면서 지냈을까?",매일 일기를 쓰고 책을 읽으며 자기주도학습 습관을 길렀다.,마을회관에서 뉴스와 드라마를 보며 지냈다.,아버지 어업 일을 도우며 가족 생계에 보탬이 되었다.,매일 읽은 책의 감상이나 배운 점을 꼼꼼히 일기에 기록하니 자기주도적인 습관이 잘 잡혀나가게 되었다.,"마을 어르신들과 시사 이슈에 대해 얘기하기도 하고, 드라마를 보며 즐거운 시간을 보내기도 했다. 문해력이나 상식은 늘었지만 주요 과목의 기초 개념은 조금 부족한 상태다.","생업을 하며 가족의 소중함과 책임감을 배웠지만, 학업에 쏟을 시간이 부족해 성적이 많이 떨어지게 되었다.",4,5,2,3,2,5
"우리 학교에 단 한 명뿐이던 선생님께서 육지로 전근을 가셨다. 대체 선생님은 당분간 못 오시고, 학교도 한동안 자율 학습 위주로 바뀔 예정이다.",인터넷 강의 프리패스를 결제한다.,가장 필요한 한 과목만 선택해서 결제한다.,기존 수업 자료로 혼자 공부한다.,자율 학습 상황에서 집중이 어렵지만 인터넷 강의로 어느 정도 커버 가능했다.,자율성이 높아졌지만 꾸준한 학습 습관이 없으면 효과가 떨어져 많이 힘들었다.,"자기 주도적으로 학습할 수 있었지만, 한계도 명확해 효과가 많이 떨어졌다.",-2,0,-1,2,-1,0
어업을 나가셔야 하는 아버지의 배가 고장나 한동안 생계가 막막해졌다.,아버지를 도우며 일을 배우고 생계에 보탰다.,"아버지의 일손을 돕고, 시간을 쪼개 공부를 한다.","공부에 집중하고, 일손은 다음에 돕는다.","공부 시간을 줄이고 생계에 보탬이 되었지만, 체력적 부담이 컸다.",늦은 밤에 공부하며 낮엔 일하는 일정으로 피로가 많이 누적되었다.,"학업 성적이 많이 향상되었지만, 여전히 생계는 어려운 상태라 걱정이 많이 된다.",4,5,2,3,2,5
"정부 지원금이 나왔다. 학습 자료나 생활비로만 사용할 수 있는데, 어떻게 할까?",전부 온라인 강의와 책 구매에 쓴다.,"반은 생활비, 반은 교재에 쓴다.",전부 저축하고 기존 자료를 활용한다.,학습에 필요한 도구를 대부분 확보했지만 생활비 부담이 커졌다.,"겨우 균형을 잡은 지출로 만족스럽진 않지만, 생계와 학습을 함께 유지할 수 있었다.","경제적 안정은 유지됐지만, 학습 자료 부족으로 진도에 어려움이 있었다.",-2,0,-1,2,-1,0
듣고 있는 인터넷 강의가 무료에서 유료로 전환됐다.,인터넷 강의 프리패스를 결제한다.,저렴한 과목 몇 개만 골라서 수강한다.,교과서와 있는 자료로 독학한다.,양질의 강의를 무제한으로 듣게 되어 공부 효율이 올라갔다.,중요한 과목만 수강 가능해 효율은 있었지만 범위가 제한됐다.,"새 자료가 없어 진도가 더뎠고, 공부 흥미도 떨어졌다.",4,5,2,3,2,5
방과 후에 내가 하고 싶은 활동들을 하며 시간을 보내려고 한다.,마을회관에서 봉사활동 후 마을 어르신과 인터뷰하며 기록을 남긴다.,선생님께 멘토링을 요청해 방과 후 시간을 채운다.,그냥 집에서 놀면서 쉰다.,경험도 쌓고 용돈도 벌었지만 체력적으로 힘들었다.,"다양한 학습을 하며 성적이 향상되었지만, 문득 생계를 위한 활동을 하지 못한 것에 대한 아쉬움이 남는다.",휴식으로 컨디션은 회복됐지만 학습·경험이나 생계에 도움이 되는 기회는 놓쳤다.,-2,0,-1,2,-1,0
택배사 사정으로 필요한 물품들과 교재가 제 때 도착하기 어렵다고 한다.,아버지께 부탁드려서 배를 타고 가 직접 수령한다.,같은 학교 친구에게 빌린다.,일단 집에 있는 것들로 버틴다.,"시간을 들여 확보했지만 에너지가 많이 들었고, 그 시간 동안 아버지가 어업을 하지 못하셨다.",일정 지연은 있었지만 친구 덕분에 최악은 면하며 공부할 수 있었다.,필요한 물품들이 없어서 한동안 공부하는 데 많은 어려움을 겪었다.,4,5,2,3,2,5
학생 공모전을 통해 또다시 정부 지원금을 받을 수 있는 기회가 왔다. 하지만 확실하게 공모전을 준비하려면 육지에 여러 번 다녀와야 해서 지원금이 거의 남지 않는다. 어떻게 할까?,공모전에 시간을 쏟기 보다는 학교 공부에 열중한다.,"지원금을 확실하게 받을 수 있을지는 모르겠지만, 섬에서만 준비한다.",경험을 쌓을겸 공모전 준비에 열중한다. ,"비용적 부담 요소는 사라졌지만, 얻기 힘든 기회를 놓쳐 아쉬움이 많이 남았다.","섬에서 준비한 한계 때문인지 지원금은 받지 못했지만, 다양한 경험을 쌓았다.","다양한 학습 경험을 쌓고, 운이 좋게 지원금도 받았지만, 그동안 들어간 비용 때문에 생계는 여전히 팍팍하다.",-2,0,-1,2,-1,0
"육지 학교와 온라인 교류 수업을 하기로 했는데, 인터넷이 고장나버렸다.",휴대폰 유료 데이터로 접속을 시도한다.,옆 마을에 있는 마을 회관에 가서 와이파이를 빌려 쓴다.,친구에게 녹화를 부탁한 후 자료를 나중에 받아본다.,"긴급 대처는 가능했지만, 데이터 요금 부담이 생겼다.",이동 시간은 많이 들지만 급한 문제는 해결되었다.,"수업 참여도가 많이 떨어지고, 공부에 흥미가 조금 떨어졌다.",4,5,2,3,2,5
"어렵게 공부하다 보니 문득, 공부보다는 어업을 물려받는 게 더 낫지 않을까라는 생각을 하게 되었다.",그래도 공부를 계속 열심히 한다.,"공부를 완전히 놓진 않지만, 아버지께 어업을 조금씩 배워둔다.",공부는 힘드니까 아예 어업쪽으로 진로를 삼는다.,"성적은 유지되었지만, 경제적인 불안감은 여전했다.","생계와 학업을 모두 고려한 결정이었지만, 애매하게 둘 모두를 챙기려는 욕심인가하는 걱정이 들었다.","생계를 고려한 새로운 방향을 잡았지만, 주변의 우려가 매우 커졌다.",-2,0,-1,2,-1,0
