storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
해외 진출 국가를 결정해야 한다.,개발도상국 중 교육 인프라가 있는 국가,지리적으로 가까운 국가,인건비가 가장 저렴한 국가,입력중,입력중,입력중,4,5,2,3,2,5
현지의 언어와 문화가 낯설다.,문화 전문가 및 통역사 채용,온라인 번역기 이용,현지를 회사 기준에 맞추도록 함,입력중,입력중,입력중,-2,0,-1,2,-1,0
현지 직원의 채용이 필요하다.,공정한 면접 기준 마련,지인의 추천을 우선,자국 인재에 우호적인 태도,입력중,입력중,입력중,4,5,2,3,2,5
현지 비정부기구에서 자원순환 캠페인 협력을 요청했다.,공동 캠페인 기획,기부만하고 관여하지 않음,비정부기구 활동은 비효율적,입력중,입력중,입력중,-2,0,-1,2,-1,0
현지 주민의 반발이 심해졌다.,주민과의 간담회 개최,법적으로 정당하니 무시,시간에게 맡김,입력중,입력중,입력중,4,5,2,3,2,5
진출 목표 국가의 정부에서 환경영향평가를 요구했다.,현지 기준 존중 및 성실한 제출,로비로 무마,환경영향평가 거절,입력중,입력중,입력중,-2,0,-1,2,-1,0
현지 노동자 복지 문제가 제기되었다.,급여 인상과 의료지원 등 복지 확대,단기 계약 위주로 조율,노동 조합은 허용하지 않음,입력중,입력중,입력중,4,5,2,3,2,5
국제 컨퍼런스에 초청받았다.,업사이클링의 가치와 비전 발표,네트워킹 위주의 활동,불참,입력중,입력중,입력중,-2,0,-1,2,-1,0
기술 이전 요청이 들어왔다.,공동 개발을 제안,기술 유출 우려 및 거절,기술 독점을 강조,입력중,입력중,입력중,4,5,2,3,2,5
국제 파트너십을 확대할 기회가 생겼다.,글로벌 기업과 협업해 현지화 프로젝트,국내 기업 중심으로 전개,독자적으로 운영 고수,입력중,입력중,입력중,-2,0,-1,2,-1,0
