storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 휠체어를 타고 생활하는 장애인이고, 현재 힘든 구직기간을 보내고 있는 33살이다. 지자체를 통해 일자리를 몇 번 가져봤으나, 대부분 단기 계약직이었고, 현재는 집에서 쉬는 중이다. 기업들이 장애인 근로자들을 채용하도록 하는 제도가 있지만, 현실은 장애인을 고용하지 않는 기업들이 대부분이다. 일반 기업들에다가 지원을 해봐야 할까?",기업에 직접 문의해본다,일반 공고에라도 지원한다,포기하고 닫는다,"대부분은 “채용 계획 없음” 혹은 “별도 경로를 통해 추천 받는다”는 답뿐이었다. 유일하게 한 곳에서 메일 접수를 권했지만, 이후 소식은 없었다. 채용 경로의 벽을 실감했다.","면접은 받았지만 편의 요청에 대한 시스템이 없었고, 회사도 당황해했다. 면접 이후 별다른 연락은 없었다.",하루 종일 아무것도 하지 못한 채 죄책감과 무력감에 휩싸였다.,4,5,2,3,2,5
이력서를 쓰려는데 경력 공백이 눈에 띈다.,몇 년 전 했던 봉사활동과 블로그 콘텐츠 운영을 경력란에 써 넣는다.,‘장기 치료와 재활’ 등 공백의 이유를 담담하게 작성한다.,"적을 만한 게 떠오르지 않아, 그냥 경력 항목을 아예 비워둔다.","한 면접관이 관심을 가졌지만, 나머지는 “이건 경력으로 보기 어렵다”는 반응이었다.","서류 전형에서 통과되긴 했지만 면접에서 이에 대한 질문은 없었고, 결과도 불합격이었다.","공란은 너무 선명했고, 나조차 내 이력서를 자신 있게 못 바라보게 됐다.",-2,0,-1,2,-1,0
면접장까지의 교통편이 없다. 지하철역도 멀다.,"전날 예약제로 휠체어 택시를 신청하고, 2시간 전에 출발한다.","환승 정보를 미리 알아보고, 버스를 갈아타고 간다.","면접 전날 밤, “이건 무리일 것 같다”며 연락을 취소한다.","기사님이 20분 지각했고, 겨우 면접 시간에 도착했다. 허겁지겁 들어가 첫 인상을 망쳤을까 걱정이 많이 들었다.","사람들 사이를 지나 눈치를 많이 보며 버스를 2번 갈아탔다. 지하철 엘리베이터는 고장나 있었고, 땀에 젖은 채 면접장에 도착했다.",“이래서 내가 할 수 있는 일이 없구나”라는 자책감이 들었다. 면접관은 이유를 묻지도 않았다.,4,5,2,3,2,5
면접관이 ‘업무 수행 가능하냐’는 질문을 던진다.,"업무 수행 능력에 대한 답변을 한 후, 필요 보조수단과 협의 사항을 최대한 논리적으로 설명한다.",말이 막혀 웃으며 넘긴다.,"그 질문이 불쾌했지만, 아무 말 없이 참는다.",면접관이 고개를 끄덕였지만 “현장에서 실제론 어렵겠네요”라는 말이 뒤따랐다.,"면접관은 계속 같은 질문을 돌려 물었고, 말문이 막혔다.",인터뷰 후 한참을 멍하니 앉아 있었다. 답답하고 서글펐다.,-2,0,-1,2,-1,0
"낙방 후, 친구가 자격증 과정을 추천한다.",장애인 직업훈련기관에서 국비 지원 과정을 알아본다.,등록금이 부담되지만 자비로 온라인 과정을 신청한다.,"솔직히 자신도 없고, 시작도 두렵다.","서류 준비와 과정 등록은 복잡했지만, 몇 주 후에 교육을 시작할 수 있었다.","과정 초반 열심히 했지만, 학습 환경이 불편했고 지쳐가기 시작했다.","“나만 뒤처지고 있는 건 아닐까” 하는 생각에 밤잠을 설쳤다.
",4,5,2,3,2,5
온라인 강의가 원활하게 지원이 되지 않아 진행이 어렵다.,해당 플랫폼에 개선 요청 메일을 보낸다.,강의 선생님께 직접 부탁을 해본다.,그냥 강의를 닫고 침대에 누워버린다.,"“검토해보겠다”는 답변이 돌아왔고, 그 이후 만족스럽진 않지만 조금의 개선 사항이 반영되었다.","선생님이 의견을 잘 들어주셨고, 덕분에 개인적으로 질문할 수 있도록 시간을 내주시거나, 강의 자료를 메일로 전달해주셨다.",며칠째 강의에 다시 들어갈 수 없었다. 시작조차 힘들어졌다.,-2,0,-1,2,-1,0
지자체 장애인 일자리 한시 채용 공고가 떴다.,조건을 확인한 뒤 바로 지원한다.,"지원서를 열어두고, 일단 고민부터 시작한다.",“또 단기겠지” 하고 아예 클릭하지 않는다.,"서류는 통과되었지만, 근무지가 멀고 시급은 최저였다.",고민하는 사이 접수 마감일이 지나 있었다.,"공고가 끝난 뒤, SNS에 합격 후기를 본 뒤 복잡한 마음이 들었다.",4,5,2,3,2,5
근무 중 편의시설 부족으로 어려움을 겪는다.,관리자에게 불편 사항을 정중하게 요청한다.,"참고 쓰다가 다치기도 했지만, 회사에 다니는 것만으로도 다행이라 생각하고 그냥 묵인한다.",가까운 동료에게 몰래 부탁해본다.,"담당자는 “한번 확인해보겠다” 하고 넘어갔지만, 이후 큰 변화는 없었다.","무릎에 멍이 들고, 손이 찝혔다. 진료비는 본인이 부담했다.","고맙긴 했지만, 괜히 폐 끼치는 기분이 들었다. 다음부턴 말을 아꼈다.",-2,0,-1,2,-1,0
계약 만료 후 재계약은 어렵다는 연락이 왔다.,"지원센터에 이력서를 업데이트하고, 새 일자리를 찾아본다.","주변에 말은 못하고, 혼자 정리 중이다.",침대에 누운 채 아무 것도 하기 싫다.,"한 달 뒤, 비슷한 조건의 단기 공고를 또 추천받았다.","마음을 정리하려 했지만, 밤마다 자꾸 눈물이 났다.",방 안에 며칠간 햇빛이 들어오지 않았다. 전기요금 고지서만 쌓였다.,4,5,2,3,2,5
장애인 고용센터에서 장기근속 기업 추천 제안이 온다.,"서류를 준비하고, 상담 예약을 잡는다.",일단 고민만 한다. 아직 시작은 하지 못했다.,“이런 것도 결국 보여주기식일 뿐”이라고 생각하고 무시한다.,"생각보다 준비할 게 많았지만, 차근차근 시작해보고 있다.","상담 신청을 망설이다, 마감 기간이 지나버렸다.","며칠 후 친구가 그 기업에서 일하게 되었다는 얘길 들었고, 가슴이 철렁했다.",-2,0,-1,2,-1,0
