storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
벌들이 사라진 꿀벌 농가들이 하나둘 문을 닫고 있다.,전국 양봉 협회를 결성해 지원을 요청,국회에 '벌 보호법' 제정을 요청,일단 해외 꿀을 수입,"협회 결성 및 지원 요청을 통해서 정부 및 관련 기관의 정책적, 재정적 지원 등의 가능성이 열렸다.","꿀벌과 양봉산업 보호에 대한 국가적 의무를 강화를 위해 법률 제정을 요청했다. 그러나 입법 과정이 길어 당장은 아무 효과가 없고, 제정에 실패하면 무산이 되버린다.","단기적으로 꿀 공급 부족을 해소했지만, 지속된다면 국내 양봉산업의 경쟁력이 약화되고, 국산 꿀 시장이 축소되는 등 부정적 영향이 발생할 수 있다.",4,5,2,3,2,5
인근 농장에서 뿌린 살충제가 양봉장까지 흘러들어왔다.,민사 소송으로 책임을 묻기,차단 시설 설치,피해 감수,살충제로 인한 피해에 대해 민사 소송을 제기했다. 소송에는 긴 시간과 비용이 부담된다.,차단 시설을 설치해서 살충제의 직접적인 유입을 줄였다. 지속적인 모니터링과 관리가 필요할 듯하다.,"이미 엎질러진 물이기에 피해를 감수하기로 했다. 예상한 일이지만, 벌이 대량 폐사하고 말아서 벌을 추가로 들여왔다.",-2,0,-1,2,-1,0
지자체가 지역개발을 명목으로 벌통이 있는 야산을 밀어내려고 한다.,환경영향평가를 요청해 사업 중단 추진,개발 찬성 및 대가로 보조금 수령,절반만 개발 ,개발사업이 환경에 미치는 영향을 과학적으로 조사 및 평가하도록 환경영향평가를 요청했다. 평가 결과에 따라 사업이 취소될 수도 있다.,개발에 찬성하고 보조금을 수령했다. 그러나 벌통이 있는 야산 일부가 훼손되어서 양봉업의 지속 가능성이 소폭 감소했다.,산의 일부만 개발하기로 지자체와 협의했다. 그러나 개발로 인한 환경 변화와 서식지 축소 등은 불가피했기에 양봉업에 부분적인 타격이 발생했다.,4,5,2,3,2,5
희귀 야생종이 근처에서 발견되었다.,생물다양성 보호구역으로 지정 요청,조사단만 파견,사업지 이전의 어려움으로 보호 불가,"보호 구역으로 지정을 요청했다. 희귀 야생종과 주변 생태계를 보호할 수 있어 장기적으로는 생태계에 긍정적인 영향을 미치지만, 지역 개발에 제약이 생길 수 있을 것이다.",조사단을 파견해 해당 종의 분포와 생태만 조사하는 것으로 진행했다. 별도의 보호 조치가 이루어지지 않으면 인간의 경제활동 같은 외부 요인으로 서식지가 파괴될 수 있다.,양봉업이 중단될까 떨려 보호 조치를 따로 하지 않았다. 이제 이 야생종을 다시 만날 수 있을지 모르겠다...,-2,0,-1,2,-1,0
꿀 생산량 저하로 수익이 반토막이 났다.,정부에 생산보조금을 요청,유기농 꿀로 전환하여 가치로 승부,꿀 수입 확대,"정부의 보조금 정책으로 단기적으로 수익 감소분 일부를 보전 받을 수 있다. 하지만 제한적일 수 있으며, 장기적으로는 해결책이 되지 못할 것이다.","유기농 꿀 시장은 세계적으로 높은 성장세를 보이고, 소비자들도 천연·유기농 제품을 선호하는 경향이 뚜렷하다. 수익성의 개선이 기대된다.","수입 꿀을 통해 단기적으로 공급 부족을 해소할 수 있겠지만, 국내산 꿀 시장의 점유율과 경쟁력이 떨어지는 것이 국내 양봉업에 부정적인 영향을 끼칠 것이다.",4,5,2,3,2,5
양봉장 주변에 외래종이 발견되었다.,즉시 방역 작업을 실시,당장 피해가 없어 무시,감시 체계 구축,"바로 지자체에 알리고 방역 작업이 이루어져 잠재적 위험을 예방했고, 언론을 통해 전국에 주의할 것을 알렸다.","초기에는 피해가 없었지만, 최근 번식 및 확산이 이루어져 꿀벌에게 위협이 되고 있다.",외래종의 확산 상황과 피해 발생 여부를 신속하게 파악할 수 있었다. 감시에서 멈추지 않고 방제 조치가 이루어져야 할 것이다.,-2,0,-1,2,-1,0
도시화로 꿀벌이 점점 사라지고 있다.,도시 양봉 프로젝트 추진,도시 개발지역 내 벌집 설치 허용 요구,방관,도시 내 녹지 공간을 활용하여 꿀벌 서식지와 먹이원을 제공했다. 덕분에 꿀벌 개체 감소 완화에 조금이나마 기여를 할 수 있었다. 도시의 위험요인은 체게적인 관리 대상이다.,개발지역 내 벌집 설치가 허가되어 서식지 보전 가능성을 높였다. 하지만 도시개발로 인한 서식지 단절과 대기 오염 등의 위험도 공존하기 때문에 효과가 제한적이었다.,별도의 대응 없이 방치했다. 결국 계속되는 도시화로 인해 꿀벌 개체수가 급감하고 말았다.,4,5,2,3,2,5
비료 사용을 줄이라는 압박이 늘고 있다.,유기농으로 전환,기존 비료를 가이드라인에 맞추어 사용,비료 확대로 생산량 증대,비료 사용을 중단해 토양·수질의 오염을 줄여나가기로 했다. 그러나 밀원의 성장 및 생산량도 감소함에 ,가이드라인을 준수하여 환경 피해를 최소화하면서 일정 수준의 밀원 생산량을 유지했다. 합리적으로 사용하면 토양 건강과 생태계 보전에 도움이 될 수 있는 것 같다.,"외부 압박에 강한 스트레스로 비료 사용을 확 늘렸었다. 토양 산성화, 꿀벌 및 기타 생물의 건강 악화 등 심각한 환경 문제를 초래하게 되었다.",-2,0,-1,2,-1,0
멧돼지 등의 야생동물에게 양봉장이 위협 당하고 있다.,울타리 설치,음향 장치로 쫓기,보이는 족족 사냥,울타리 등 야생동물 차단 시설을 설치해 멧돼지의 침입을 효과적으로 막을 수 있었다. 울타리를 주기적으로 교체해야 더욱 효과가 좋을 것이다.,"음향 장치로 큰 소리를 내어 야생동물들을 쫓아보기로 했다. 처음엔 다들 놀라 도망가는 듯 했지만, 점차 익숙해지면서 다시 피해가 생기고 있다.","장비를 마련하고, 야생동물이 보이면 사냥을 했다. 최근엔 멧돼지를 사냥하다가 다리를 다치고 말았다.",4,5,2,3,2,5
기후 변화로 사육이 어려워지고 있다.,실내 사육 시스템 도입,사계절 벌 보호 프로그램 개설,사육 중단,"실내 양봉 시스템을 구축해 통해 온도, 습도, 질병, 해충 등 다방면을 통제할 수 있게 되었다. 투자 비용이 만만치 않았지만, 장기적으로 이익이 될 것으로 보인다.",꿀벌들을 보호할 수 있는 시스템을 조금 마련했다. 꿀벌들의 스트레스가 줄은 것인지 생산성을 일정 부분 유지할 수 있었다.,양봉업을 그만두기로 했다.,-2,0,-1,2,-1,0
