storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
요즘 밥을 직접 차려서 먹을 시간이 없어 배달 음식을 자주 이용한다. 일회용기가 한가득 쌓여 고민인데 앞으로 배달을 시킬 땐 어떻게 할까?,다회용기 배달 서비스를 이용한다.,포장을 최소화 할 수 있는 옵션을 선택한다.,평소처럼 배달 음식을 수령한다.,"일회용기의 사용이 줄어서 배출할 쓰레기의 양도 크게 줄었다. 용기를 다시 꺼내놓는게 귀찮긴 하지만, 쓰레기도 줄고, 환경도 생각할 수 있다.","배달을 받으면 포장이 많지 않아서, 포장을 뜯을 때 번거롭지 않고 좋았다. ","어차피 내가 편하려고 시키는 배달 음식이니, 그냥 일회용기를 사용하기로 했다. 얼마전 뉴스에서 배달 용기의 미세플라스틱에 대한 내용을 봤지만 아무렴 어떤가.",4,5,2,3,2,5
오랜만에 장을 보러 나왔다. 마트에선 대부분의 식재료가 비닐로 포장 되어있다.,시장 또는 제로웨이스트 상점 등을 이용한다.,최대한 큰 포장 단위의 식재료를 선택한다.,할인하는 제품을 중심으로 구매한다.,마트 근처 시장으로 발길을 돌렸다. 시장은 포장재 쓰레기가 적어서 편하다. 하지만 역시 마트에 비해 신선도가 떨어지는 건 아쉽다.,대용량으로 사면 저렴하고 쓰레기도 덜 나올 것이라는 생각에 구매했다. 그런데 사용하고 남은 재료가 처치곤란이다. ,"할인하는 식재료로 구매해서 식비를 어느 정도 아낄 수 있었지만, 포장재는 여전한 것 같다.",-2,0,-1,2,-1,0
집에서 요리를 잘 하지 않았더니 냉장고 속 채소가 상해서 버리고 말았다.,일주일 식단표를 작성해본다.,"소량씩, 자주 장보기로 한다.",누구나 발생할 수 있는 자연스러운 일이다.,"식재료의 사용 계획이 명확해져 음식물 쓰레기가 크게 줄었다. 다만, 계획에만 맞추다보니 약간의 스트레스가 쌓인다.","필요한 만큼만 구매하기로 했다. 돈은 좀 더 나가도, 그 덕에 언제나 신선한 재료로 요리할 수 있고, 음식물 쓰레기도 줄었다.","대수롭지 않게 여기고 넘기는 일이 반복됐다. 결국, 음식물 쓰레기도 더 많아지고, 비용 부담도 커졌다.",4,5,2,3,2,5
아이가 간식을 남기는 양이 부쩍 늘어난 것 같다.,평소보다 적은 양으로 소분한다.,먹고 남는 간식을 냉동 보관한다.,음식물 쓰레기로 버린다.,아이가 먹을 수 있는 양만큼만 주니 쓰레기가 많이 줄었다. 식습관 형성에도 도움이 되는 것 같아 기분이 좋다.,"남는 간식을 냉동 보관하고, 다음에 주는 식으로 했다. 냉동이지만, 품질이 떨어질까 조금 걱정되기는 한다.","남는 간식은 모두 버렸다. 처리하기는 편해졌지만, 맞는 선택인지 고민하게 된다.",-2,0,-1,2,-1,0
플라스틱으로 만들어진 포장 용기를 버리려는데 플라스틱의 종류가 많아 헷갈린다.,지자체에서 진행하는 쓰레기 분리 배출 교육에 참여한다.,하나하나 검색해서 찾아보고 버린다.,플라스틱인 건 같으니 큰 차이는 없을 것이다.,"교육을 받으러 가는 것은 귀찮지만, 그만큼 확실하게 알 수 있었다. 이제는 올바르게 분리배출할 수 있다.","용기 하나하나 표기된 재질을 확인해 검색한 뒤 버렸다. 시간과 힘이 좀 많이 들지만, 익숙해질 것이다.",플라스틱별 분리배출이 귀찮아서 모두 합쳐서 버렸다. 뒤섞인 플라스틱은 재활용이 어렵다는 것을 나중에 기사를 보고 알게 되었다.,4,5,2,3,2,5
매일매일 쌓이는 음식물 쓰레기를 어떻게 처리하는 것이 좋을까?,"제대로된 식단표를 계획하고, 실천한다.",퇴비화 장비를 대여한다.,음식물 쓰레기 봉투에 담아 배출한다.,"식단을 계획하고, 필요한 만큼만 구매·조리하니 음식물 쓰레기가 많이 줄었다. ","장비 사용이 처음엔 조금 어려웠지만, 음식물 쓰레기를 직접 퇴비로 전환하니 처리가 간편했다. 내가 먹고 남은 음식이 자원이 될 수 있다는 것도 신기했다.",머리 아프게 고민할 필요가 있겠나 싶어 평소처럼 음식물 쓰레기 전용 봉지에 담아 배출했다.,-2,0,-1,2,-1,0
쓰레기 봉지를 일주일에 3장씩 쓰고 있다. 사용량이 많으니 봉지 가격도 무시할 수 없게 됐다.,쓰레기 배출량을 측정하는 어플을 설치한다.,리필/재사용 제품을 사용한다.,종량제 봉투를 더 구입한다.,배출량을 실시간으로 기록 및 관리할 수 있어 자연스레 쓰레기가 조금 줄게 되었다. 덩달아 봉지값도 아낄 수 있었다.,환경에 좋은 제품을 사용하려니 비용 부담이 있었다. 그래도 장기적으로는 환경에 좋은 영향을 끼칠 수 있을 것이다.,쓰레기 배출량에 큰 변화가 없었기에 여전히 비용은 부담스러운 상황이다.,4,5,2,3,2,5
옷장 속에 옛날에 입었던 헌 옷이 잔뜩 있다. 그냥 버리기엔 조금 아까운데 재활용 할 수 있는 방법이 있을까?,의류 수거함을 이용한다.,재활용 DIY를 시도한다.,다른 사람에게 기부한다.,"비교적 깨끗한 옷은 의류 수거함을 통해 다른 사람에게 재사용되거나, 상태에 따라 다양한 자원으로 재활용될 수 있다고 한다.",헌 옷에 와펜을 달아서 리폼을 했다. 나만의 패션 아이템이 생긴 것 같아 기분이 좋다.,구입하고 몇 번 입지 않은 옷을 온라인 중고 거래 플랫폼을 통해 무료로 기부했다. 내가 입지 않는 옷이 다른 이들에겐 도움이 될 수 있는 것이 뿌듯했다.,-2,0,-1,2,-1,0
집 안을 가득 메운 커피 캡슐과 테이크아웃 컵을 보니 한숨이 절로 나온다.,텀블러 사용을 실천한다.,커피를 마시는 횟수를 줄인다.,"평소처럼 마시되, 분리 배출한다.",매장에서 주는 테이크아웃 컵 대신 텀블러를 사용하니 쓰레기를 처리할 필요 없어 편했다. 오래 지속하면 환경을 지키는데도 큰 기여를 할 수 있을 것이다.,"커피 자체를 줄이기로 했다. 당장은 피곤함을 버티기 힘들지만, 환경과 건강을 모두 지킬 수 있으니 노력해보기로 했다.","컵은 헹구어놨다가 쌓이면 겹쳐서 버리기 때문에 부피가 크진 않다. 어느 정도 쓰레기 봉지를 아낄 수 있지만, TV에서 얘기하는 것처럼 환경에는 좋지 않겠지.",4,5,2,3,2,5
이사를 할 시기가 다가온 김에 물건을 정리하려고 한다. 불필요한 물건들을 어떻게 처리할까?,중고 거래 플랫폼에 판매한다.,지자체의 자원순환센터를 활용한다.,전부 대형 폐기물로 버린다.,불필요한 물건을 중고로 판매해서 짭짤하게 수익이 났다. 이삿짐도 많이 줄여서 이사 비용도 함께 줄었다.,"가까운 자원순환센터에 물건을 가져갔다. 재활용이 가능하면 분리 및 재활용되고, 일부는 사회복지시설 등에 기부가 된다고 한다.","부피가 큰 가구들을 전부 대형 폐기물로 버렸다. 이사 준비는 어렵지 않게 끝났지만, 대형 폐기물은 재활용이 비교적 어렵고 대부분 소각이 된다고 한다.",-2,0,-1,2,-1,0
