storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 졸업 후 취업을 목표로 실습 중인 특성화고 3학년 왕성실이다. 3학년 2학기부터 기계부품 제조 공장에서 실습 중인데, 막상 현장에 나와 보니 필요한 물품이 너무 많다.",부모님의 지원을 받아 모든 장비를 갖추고 실습에 참여한다.,최소한의 장비만 마련해 실습에 참여한다.,"자비로 장비를 마련할 수 없어, 있는 옷과 신발을 착용하고 실습에 참여한다.","장비를 완전히 갖춘 덕분에 실습 중 불편함이 없었고, 평가에서도 높은 점수를 받았다. 다만 소모품인 장비 가격 때문에 부모님의 부담이 조금 커졌다.","필요한 도구가 부족해 작업 시간이 늘어났고, 몇 번은 빌려 쓰며 눈치도 보게 됐다.",보호장비 미흡으로 발에 물집이 생기고 기계 오일로 옷이 망가졌다.,4,5,2,3,2,5
무거운 기계를 옮기다가 팔에 찰과상을 입었다.,응급처치실로 바로 향한다.,근처 약국에서 약과 소독약을 구매한다.,그냥 참고 일한다.,"빠른 처치로 상처가 덧나지 않았고, 금방 회복되어 이어진 실습에 영향을 끼치지 않을 수 있었다.","상처는 나았지만, 혼자 판단했던 어설픈 처치로 인해 이후 발진이 발생했다.",며칠 후 상처가 덧나고 통증이 심해졌다. 결국 병원에 가게 되었다.,-2,0,-1,2,-1,0
기계 오작동으로 친구가 다칠 뻔한 상황을 목격했다.,학교 담당 교사에게 바로 보고한다.,회사 내부에 조심하자고만 말한다.,그냥 넘어간다.,"빠른 개선 조치가 이뤄질 줄 알았지만, 시간이 생각보다 오래걸렸다. 그래도 관련된 안전 조항이 새로 만들어지긴 해 다행이다.","구두 전달이라 사후 조치가 느렸고, 또 다른 사고가 발생할 뻔했다.",며칠 후 진짜 사고가 발생했다. 큰일이 아니었지만 죄책감이 남았다.,4,5,2,3,2,5
실습 업체에서 쉬는 시간 없이 6시간 연속 작업 지시가 내려졌다.,조심스럽게 현장반장에게 쉬는 시간 보장을 요청한다.,잠깐 화장실을 다녀오며 눈치껏 쉰다.,아무 말 없이 지시에 따른다.,처음엔 눈치가 보였지만 이후 정식으로 휴게시간이 반영됐다.,중간에 몰래 쉬다 관리자에게 지적받고 평가지표가 깎였다.,근무 중 탈진 증세로 실습을 이틀 쉬게 되었다. 회사 평가는 나빠졌다.,-2,0,-1,2,-1,0
"근무 중 화학약품 근처에서 작업하게 되었는데, 마스크가 지급되지 않았다.",방진 마스크를 직접 구입해 사용한다.,동료가 사용했던 마스크를 빌려 재사용한다.,약국에서 덴탈마스크 하나를 구매해 사용한다.,꼼꼼히 신경쓰고 작업한 탓에 건강에 큰 이상없이 작업을 마무리할 수 있었다.,"화학약품 냄새는 줄었지만, 작업 도중 기침이 심해져 병원 진료를 받게 됐다.","일단 버티며 작업했지만, 몇 차례 작업 후 여러 증상이 나타나 병원에서 며칠 입원치료를 받게 되었다.",4,5,2,3,2,5
실습수첩에 안전 관련 불만을 쓰려 했지만 눈치가 보인다.,문제 상황을 솔직하게 보고하고 도움을 요청한다.,상황을 완곡하게 이야기한다.,빈칸으로 둔다.,"회사는 불만 내용을 개선했고, 하지만 이후 실습 기간동안 회사의 눈치를 많이 보게 되었다.","약간의 개선은 있었지만 회사에서 큰 노력을 하진 않았고, 결정적 문제는 해결되지 않았다.","개선은 커녕 이후 같은 문제가 반복되었고, 이직을 고민하게 됐다.",-2,0,-1,2,-1,0
첫 월급이 입금되었다. 어디에 사용하면 좋을까?,"부모님께 자금 관리를 부탁 드리고, 나머지는 건강검진 예약과 생활비로 사용한다.","절반은 저축하고, 나머지는 영양제 구매와 생활비로 사용한다.",모두 저축하고 씀씀이를 줄인다.,"부모님의 서포트로 효율적인 자금관리가 가능했고, 적절한 시기의 건강검진 결과 덕분에 조기 치료가 가능했다.","건강관리에 신경을 쓰며 컨디션 관리를 했고, 저축도 하며 안정감을 얻었다.",성취감은 있었지만 생활비를 아끼다 건강이 악화되어 결국 병원비가 더 들었다.,4,5,2,3,2,5
지역 일자리 박람회에서 대기업 하청업체가 고용 설명회를 한다. 지원할까?,"설명회를 듣고, 꼼꼼히 조건을 비교해본 후에 지원한다.","설명회를 듣고, 결정은 보류한다.",그냥 현장 실습에 출근하여 하루라도 일당을 더 받는다.,"꼼꼼히 따진 후 지원하여, 좋은 업체를 통해 좋은 경험과 지식을 얻었다.",정보는 얻었지만 결정이 늦어지면서 좋은 기회를 얻을 타이밍을 놓쳤다.,경험은 늘었지만 구직정보가 부족해 졸업 이후 구직 계획에 어려움을 가지게 되었다.,-2,0,-1,2,-1,0
졸업 후 이 회사에서 정규직 제안을 받았다. 하지만 연장 근무가 잦고 사고도 잦은 편이다.,회사와 조건 협상을 통해 안전 교육과 근무 환경 개선을 요청한다.,일단 3개월 계약서를 작성한다.,제안을 거절하고 다른 회사를 찾는다.,"면담은 했지만, 회사는 “교육은 하고 있다”, “지금 개선 중”이라는 원론적 답변만 반복했다. 정식 채용은 되었지만, 근무 환경은 단기간에 눈에 띄게 나아지지 않았다.","계속된 연장 근무와 사고 소식에 마음이 불편했지만, 실무 경험이 중요하다고 생각해 버텼다. 하지만 2개월 차 즈음, 또 한 번의 사고가 발생했고, 결국 퇴사를 결심했다.","주변에서는 “경험이 부족하다”며 우려했지만, 꾸준히 지원서를 넣은 끝에 규모는 작지만 복지가 더 나은 중소기업에 합격했다. 다만, 몇 개월간은 불안정한 생활을 견뎌야 했다.",4,5,2,3,2,5
"야근 후에 몸에 무리가 왔지만, 병가를 쓰면 일자리를 잃고, 좋지 않은 인사 평가를 받을까 걱정된다.",병원 진료 후 진단서를 제출하고 휴식을 취한다.,주말까지 참고 버틴 후 병원을 간다.,상사의 눈치가 더 무서워 참는다.,"진단서를 제출하니 병가가 승인됐고, 이후 정규직 전환에 영향은 없었다.","증상이 심해져 월요일 조퇴했고, 상사의 눈총을 받았다.","며칠 후 쓰러졌고, 구급차까지 타게 됐다. 결국 신체적·심리적 손해가 컸다.",-2,0,-1,2,-1,0
