storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 산간 지역에서 온라인 버섯 쇼핑몰을 운영하고 있는 한송이다. 도심의 인프라가 없는 이곳에서 쇼핑몰을 운영하는 나는, 어떤 기반으로 시작했을까?",전세금을 줄여 초고속 인터넷과 스마트 포장 시스템을 구축했다.,쇼핑몰을 운영할 인터넷 증폭기 정도만 마련해 두었다.,장비 투자 없이 지금 있는 인터넷과 장비를 활용해 시작했다.,"투자금이 부담됐지만, 확실히 업무 속도가 빨라졌고 고객 응대나 주문 처리도 훨씬 수월해졌다. 다만 전세금이 줄어든 만큼 주거 안정성에는 불안이 커졌다.",인터넷은 개선되었지만 간헐적 끊김은 여전했다. 업무 효율의 상승이 크게 체감되지는 않았다.,"설비가 없어 웹사이트가 느리게 작동했고, 고객 불만도 종종 접수됐다. 하지만 비용은 거의 들지 않아 초기엔 어느정도 유지 가능했다.",4,5,2,3,2,5
갑작스러운 비로 산길이 무너져 택배 차량이 못 들어온다.,지자체에 도로 복구 민원을 넣는다.,택배사를 통해 우회 배달을 요청한다.,배송을 하루 미룬다,복구는 착수되었지만 수 주가 소요됐다. 그동안 배송 지연에 따른 고객 항의가 쌓였다.,"일부 기사들이 응해주었지만, 배송비가 추가로 붙었고 일부 지역은 아예 배송 불가 판정을 받았다.","하루 미뤘지만, 도로 상황이 금방 나아지지 않아 연쇄적으로 배송이 밀리게 되었다.",-2,0,-1,2,-1,0
포장 박스가 낡고 버섯이 으깨진 채 도착했다는 리뷰가 달렸다.,친환경 박스를 새로 주문한다.,포장 방법을 바꾸고 안내문을 넣는다.,"""포장보다 상품 자체가 중요하지."" 그냥 유지한다.","제품 손상은 줄었지만, 박스 단가가 올라 마진이 줄었다.그래도 고객 평가는 다시 회복되었고, 매출도 조금 올랐다.","설명을 덧붙이자 일부 고객은 이해해줬지만, 또 다른 고객은 “핑계 같다”고 평점을 낮췄다.","비용은 아끼게 됐지만, 그 주 일주일간 주문량이 20% 가까이 줄었다.",4,5,2,3,2,5
인터넷이 자주 끊겨 쇼핑몰 업무 처리가 늦어지고 있다.,무선망 증폭기를 하나 더 구매한다.,이웃 농가와 협의하여 와이파이를 빌려 쓴다.,아직은 크게 문제가 없으므로 조금만 더 버틴다.,"설치 후 속도는 개선되었지만, 여전히 비 오는 날에는 불안정했다. 아마 설치를 안했다면 운영에 큰 손해를 봤을 것 같다.","일시적 해결은 되었지만, 트래픽이 몰릴 때 속도가 다시 느려졌고 이웃과도 미묘한 갈등이 생겼다.",불편함은 컸지만 추가 비용은 없었다. 그러나 리뷰 답변 지연으로 고객 CS 평점이 떨어졌다.,-2,0,-1,2,-1,0
갑자기 쇼핑몰 주문량이 급증해 재고 확인이 어려워졌다.,관리 앱을 도입해 실시간 재고 파악 체계를 만든다.,기존에 활용하던 기본 프로그램들로 더 자주 재고 확인을 한다.,"어차피 판매 기록이 남으므로 기존에 하던 만큼만 확인하고, 세세하게 확인하지는 않는다.","실시간 파악이 가능해졌지만, UI에 익숙하지 않아 초반엔 어려움을 겪었다. 하지만, 적응한 이후 쇼핑몰 운영이 크게 수월해졌다.",기록하다가 재고 착오로 환불 사태가 생겼다. 고객 몇명이 이탈했다.,"주문량에 비해 대응이 늦어 배송 누락이 발생했고, 여러건의 클레임이 들어왔다.",4,5,2,3,2,5
산 너머 신규 거래처에서 대량 납품을 원하는데 거리가 꽤 멀다.,앞으로 있을 납품들을 위해 냉장차 운송 업체와 계약한다.,배송 빈도를 줄이고 일정을 조율한다.,거리가 너무 멀어 부담되니 거래를 거절한다.,비용은 꽤 들었지만 배송 품질은 안정되었고 거래처와의 신뢰도 생겼다. 다만 초기 수익은 거의 남지 않았다.,일정이 들쭉날쭉해져 거래처도 불편함을 느꼈다. 재계약 시점에 조건 변경이 요구되었다.,"시간과 체력은 확보됐지만, 성장 기회를 놓쳤다는 생각이 계속 남았다.",-2,0,-1,2,-1,0
지자체에서 '농촌 스마트화 지원금' 공고가 떴다.,시간은 좀 걸리겠지만 서류를 직접 준비해 신청한다.,마을 이웃에게 도움을 받아 간신히 제출한다.,시간도 부족하고 절차가 너무 복잡해 포기한다.,"서류 준비가 만만치 않았지만, 마감 직전 제출에 성공했다. 덕분에 지원금을 받아 운영에 많은 도움이 되었다.",도움을 받았지만 일부 서류가 누락돼 재제출 통보를 받았다. 때문에 지원금을 일부만 받을 수 있게 되었다.,"시간이 없어 넘겼지만, 이후 선정 명단에 동네 경쟁 업체가 포함된 걸 보고 많은 후회를 하게 되었다.",4,5,2,3,2,5
새로운 버섯 품종을 도입하려 하는데 보관 기간이 짧은 품종이다.,냉장 보관 창고를 임대한다.,대형 냉장고 몇 개를 더 들인다.,소량만 재배하여 기존 창고에 보관한다.,"품질 유지에는 성공했지만, 월 임대료가 커서 실제 수익은 거의 남지 않았다. 그래도 인터넷에서 반응이 좋아 매출이 조금 오르게 되었다.","신품종 판매 수익을 바로 가져와 버티고 있지만 설치비와 전기세가 부담이었고, 일부 버섯은 수분 과다로 상태가 나빠졌다.","품질관리는 수월했지만, 수요를 다 감당하지 못해 거래처에서 추가 납품을 중단했다.",-2,0,-1,2,-1,0
도심 물류창고에 위탁 제안이 들어왔다.,수락하고 배송과 관련된 부담 줄인다.,"몇 달만 시험해 보기로 하고, 가계약을 맺는다.",거절하고 하던대로 직접 한다.,물류 업무는 수월해졌지만 수수료가 생각보다 높아 수익은 크게 늘지는 않았.,"몇 달 시도해본 결과, 장단점이 뚜렷했다. 큰 클레임은 없었지만 우리 업체를 통해 직접 구매하는 고객들이 줄어들어 고객 피드백도 함께 줄어들었다.","기존대로 직접 관리하며 만족도는 유지됐지만, 체력 소진이 심했고 배송 지연도 잦아졌다.",4,5,2,3,2,5
비슷한 온라인 농가들이 점점 늘어나 경쟁이 심화되고 있다.,"자체 브랜드를 만들고, 홈페이지를 구축해 리뉴얼한다.","기존 마켓을 유지하며, SNS 홍보만 강화한다.","""품질만 좋으면 잘되겠지"" 하던 방식을 고수한다.",초기 제작비는 컸지만 인스타그램 DM 문의와 직구 주문이 늘기 시작했다.,"일정 수준까지는 효과가 있었지만, 경쟁사 대비 인지도 확장은 어려웠다.","꾸준한 고객은 남았지만, 신규 고객 유입이 거의 없었다. 월 매출은 2개월 연속 하락 중이다.",-2,0,-1,2,-1,0
